10/8/2015 12:30:14 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/DashBoard.aspx|trangvt|Truy cập trang:Tổng quan
10/8/2015 12:33:05 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_09_Videos/ShowTTrafficSafety_09_VideosTable.aspx|trangvt|Truy cập trang:Xem danh sách  Videos
10/8/2015 12:40:51 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_09_Videos/ShowTTrafficSafety_09_VideosTable.aspx|trangvt|Truy cập trang:Xem danh sách  Videos
10/8/2015 12:50:18 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|trangvt|Truy cập trang:Quản lý ảnh
10/8/2015 12:58:06 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_08_TinTuc/ShowTTrafficSafety_08_TinTucTable.aspx|trangvt|Truy cập trang:Xem danh sách  Tin tức
10/8/2015 1:03:49 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_08_TinTuc/EditTTrafficSafety_08_TinTuc.aspx?TTrafficSafety_08_TinTuc=<key><cv><c>id</c><v>1</v></cv></key>|trangvt|Truy cập trang:Sửa  Tin tức
10/8/2015 1:14:40 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_07_DanhMucTinTuc/ShowTTrafficSafety_07_DanhMucTinTucTable.aspx|trangvt|Truy cập trang:Xem danh sách  Danh mục tin tức
10/8/2015 1:14:45 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_08_TinTuc/ShowTTrafficSafety_08_TinTucTable.aspx|trangvt|Truy cập trang:Xem danh sách  Tin tức
10/8/2015 1:44:16 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|trangvt|Truy cập trang:Quản lý ảnh
10/8/2015 4:44:59 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/DashBoard.aspx|trangvt|Truy cập trang:Tổng quan
10/8/2015 4:46:54 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|trangvt|Truy cập trang:Thêm quảng cáo
