9/30/2015 3:50:20 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_21_QuanLyTrangChu/ShowTTrafficSafety_21_QuanLyTrangChuTable.aspx|huyenhs|Truy cập trang:Xem danh sách module CT
9/30/2015 3:50:36 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_21_QuanLyTrangChu/AddTTrafficSafety_21_QuanLyTrangChu.aspx|huyenhs|Truy cập trang:Thêm module CT
9/30/2015 3:51:07 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_21_QuanLyTrangChu/ShowTTrafficSafety_21_QuanLyTrangChuTable.aspx|huyenhs|Truy cập trang:Xem danh sách module CT
9/30/2015 3:51:29 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/30/2015 3:53:29 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/30/2015 3:58:19 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/30/2015 4:00:45 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/30/2015 4:11:57 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/30/2015 4:14:19 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_21_QuanLyTrangChu/ShowTTrafficSafety_21_QuanLyTrangChuTable.aspx|huyenhs|Truy cập trang:Xem danh sách module CT
9/30/2015 4:14:37 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_21_QuanLyTrangChu/EditTTrafficSafety_21_QuanLyTrangChu.aspx?TTrafficSafety_21_QuanLyTrangChu=<key><cv><c>Id</c><v>20</v></cv></key>|huyenhs|Truy cập trang:Sửa module CT
9/30/2015 4:14:52 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_21_QuanLyTrangChu/ShowTTrafficSafety_21_QuanLyTrangChuTable.aspx|huyenhs|Truy cập trang:Xem danh sách module CT
9/30/2015 4:16:36 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_21_QuanLyTrangChu/ShowTTrafficSafety_21_QuanLyTrangChuTable.aspx|huyenhs|Truy cập trang:Xem danh sách module CT
9/30/2015 4:17:29 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_25_KhachHangQuangCao/ShowTTrafficSafety_25_KhachHangQuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách khách hàng quảng cáo
9/30/2015 4:17:43 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_25_KhachHangQuangCao/AddTTrafficSafety_25_KhachHangQuangCao.aspx|huyenhs|Truy cập trang:Thêm khách hàng quảng cáo
9/30/2015 4:18:52 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_25_KhachHangQuangCao/ShowTTrafficSafety_25_KhachHangQuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách khách hàng quảng cáo
9/30/2015 4:19:05 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_25_KhachHangQuangCao/AddTTrafficSafety_25_KhachHangQuangCao.aspx|huyenhs|Truy cập trang:Thêm khách hàng quảng cáo
9/30/2015 4:19:36 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_25_KhachHangQuangCao/ShowTTrafficSafety_25_KhachHangQuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách khách hàng quảng cáo
9/30/2015 4:20:43 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/30/2015 4:20:53 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/30/2015 6:03:34 PM | 42.113.153.182 | 42.113.153.182 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
